卮	巵
巹	巹
匝	帀
帥	帥
師	師
裙	帬
帳	帳
帶	帶
幀	幀
幃	幃
徽	幑
幗	幗
幘	幘
幕	幙
幟	幟
幣	幣
幫	幫
幬	幬
幹	幹
幾	幾
庫	庫
庶	庻
廁	廁
廂	廂
廄	廄
廈	廈
廄	廐
蔭	廕
廚	廚
廝	廝
廟	廟
廠	廠
廡	廡
廢	廢
廣	廣
廩	廩
廬	廬
廳	廳
巡	廵
迫	廹
回	廻
乃	廼
吊	弔
弳	弳
張	張
強	強
別	彆
彈	彈
強	彊
彌	彌
彎	彎
匯	彙
彝	彜
彝	彞
彥	彥
雕	彫
佛	彿
往	徃
徑	徑
從	從
徠	徠
復	復
仿	徬
徵	徴
徹	徹
匆	怱
恍	怳
恆	恆
怪	恠
吝	恡
恥	恥
悅	悅
匆	悤
德	悳
悵	悵
悶	悶
悽	悽
婪	惏
惡	惡
恿	惥
惱	惱
惲	惲
惻	惻
愛	愛
愜	愜
愨	愨
愴	愴
愷	愷
博	愽
愾	愾
恿	慂
慄	慄
殷	慇
態	態
慍	慍
慘	慘
慚	慙
慚	慚
慟	慟
慣	慣
愨	慤
慪	慪
慫	慫
慮	慮
慳	慳
懾	慴
慶	慶
戚	慼
欲	慾
憂	憂
憩	憇
憊	憊
憐	憐
憑	憑
憒	憒
憚	憚
憤	憤
憫	憫
憮	憮
憲	憲
憶	憶
勤	懃
懇	懇
應	應
懌	懌
懍	懍
懨	懕
蒙	懞
懟	懟
懣	懣
懨	懨
懲	懲
懶	懶
懷	懷
懸	懸
懺	懺
懼	懼
歡	懽
懾	懾
戀	戀
戇	戇
戔	戔
戧	戧
戩	戩
戲	戱
戰	戰
戲	戲
戶	戶
厄	戹
帽	戼
扦	扡
拿	拏
拖	拕
拿	挐
挲	挱
挾	挾
插	挿
救	捄
舍	捨
捫	捫
卷	捲
掃	掃
掄	掄
掙	掙
掛	掛
採	採
碰	掽
揀	揀
捏	揑
揚	揚
換	換
揪	揫
揮	揮
背	揹
構	搆
撳	搇
榷	搉
損	損
搖	搖
搗	搗
捶	搥
拓	搨
掏	搯
搶	搶
榨	搾
摑	摑
摜	摜
摟	摟
揸	摣
摯	摯
摳	摳
摶	摶
摻	摻
撈	撈
撐	撐
撓	撓
捻	撚
撟	撟
操	撡
撣	撣
撥	撥
扯	撦
撫	撫
撲	撲
撳	撳
撻	撻
撾	撾
撿	撿
擁	擁
擄	擄
擇	擇
擊	擊
擋	擋
擔	擔
攜	擕
據	據
擠	擠
抬	擡
搗	擣
舉	擧
擬	擬
擯	擯
擰	擰
擱	擱
擲	擲
擴	擴
擷	擷
擺	擺
擻	擻
擼	擼
擾	擾
攄	攄
攆	攆
攏	攏
攔	攔
攖	攖
攙	攙
攛	攛
攜	攜
攝	攝
攢	攢
攣	攣
攤	攤
擋	攩
攪	攪
攬	攬
考	攷
叩	敂
敘	敍
敗	敗
敘	敘
揚	敭
敵	敵
數	數
驅	敺
斂	斂
斃	斃
斕	斕
斬	斬
斫	斮
斫	斲
斫	斵
斷	斷
旗	旂
春	旾
升	昇
昏	昬
是	昰
時	時
晉	晉
晝	晝
晰	晳
暗	晻
暈	暈
暉	暉
映	暎
皓	暠
暢	暢
暫	暫
暱	暱
曄	曄
歷	曆
曇	曇
曉	曉
向	曏
曖	曖
曠	曠
疊	曡
曬	曬
書	書
會	會
望	朢
朧	朧
朵	朶
東	東
楠	枏
丫	枒
拐	枴
楠	柟
柵	柵
柿	柹
拐	柺
查	査
柳	栁
杯	桮
柳	桺
杆	桿
梔	梔
梘	梘
條	條
梟	梟
捆	梱
梨	棃
棄	棄
棋	棊
棖	棖
棗	棗
棟	棟
棧	棧
桊	棬
棲	棲
碗	椀
椏	椏
碇	椗
棕	椶
楊	楊
楓	楓
楦	楥
楨	楨
業	業
梅	楳
極	極
幹	榦
榪	榪
榮	榮
榿	榿
稿	槀
盤	槃
構	構
槍	槍
梅	槑
槓	槓
桌	槕
槧	槧
槨	槨
概	槩
槳	槳
規	槼
樁	樁
樂	樂
樅	樅
梁	樑
樓	樓
標	標
樞	樞
樣	樣
叢	樷
樸	樸
樹	樹
樺	樺
橈	橈
橋	橋
橛	橜
機	機
橢	橢
蕊	橤
橫	橫
槔	橰
檁	檁
檉	檉
檔	檔
檜	檜
楫	檝
檢	檢
檣	檣
臺	檯
檳	檳
檸	檸
檻	檻
苘	檾
棹	櫂
櫃	櫃
凳	櫈
櫓	櫓
櫚	櫚
櫛	櫛
櫝	櫝
櫞	櫞
櫟	櫟
櫥	櫥
櫧	櫧
櫨	櫨
櫪	櫪
櫫	櫫
櫬	櫬
櫳	櫳
櫸	櫸
欞	櫺
櫻	櫻
欄	欄
權	權
欏	欏
攢	欑
欒	欒
欖	欖
欞	欞
咳	欬
款	欵
欽	欽
嘆	歎
歐	歐
嘯	歗
斂	歛
歟	歟
歡	歡
歲	歲
歷	歷
歸	歸
歿	歿
夭	殀
殘	殘
殞	殞
殤	殤
殫	殫
僵	殭
殮	殮
殯	殯
殲	殲
殺	殺
殼	殼
毀	毀
毆	毆
醫	毉
毗	毘
絨	毧
球	毬
毿	毿
犛	氂
氈	氈
氈	氊
氌	氌
氣	氣
氫	氫
氬	氬
氳	氳
冰	氷
凼	氹
泛	氾
泛	汎
污	汙
污	汚
決	決
冱	沍
沒	沒
衝	沖
況	況
溯	泝
泄	洩
洶	洶
浹	浹
涇	涇
蒞	涖
涼	涼
悽	淒
淚	淚
浙	淛
淥	淥
淨	淨
凌	淩
淪	淪
淵	淵
淶	淶
淺	淺
渙	渙
減	減
渦	渦
測	測
渾	渾
湊	湊
湞	湞
愍	湣
湧	湧
湯	湯
淳	湻
潙	溈
準	準
溝	溝
溫	溫
溼	溼
滄	滄
滅	滅
滌	滌
滎	滎
匯	滙
淫	滛
滬	滬
滯	滯
滲	滲
滷	滷
滸	滸
滾	滾
滿	滿
漁	漁
漚	漚
漢	漢
漣	漣
漬	漬
漲	漲
漵	漵
漸	漸
漿	漿
潁	潁
漱	潄
潑	潑
潔	潔
潙	潙
潛	潛
舄	潟
潤	潤
潯	潯
潰	潰
潷	潷
潿	潿
澀	澀
澀	澁
澄	澂
澆	澆
澇	澇
澗	澗
澠	澠
澤	澤
澩	澩
澮	澮
澱	澱
濁	濁
濃	濃
溼	濕
濘	濘
蒙	濛
濟	濟
濤	濤
濫	濫
浚	濬
濰	濰
濱	濱
闊	濶
濺	濺
濼	濼
濾	濾
瀅	瀅
瀆	瀆
瀉	瀉
瀋	瀋
瀏	瀏
瀕	瀕
瀘	瀘
瀝	瀝
瀟	瀟
瀠	瀠
瀦	瀦
瀧	瀧
瀨	瀨
彌	瀰
瀲	瀲
瀾	瀾
灃	灃
灄	灄
法	灋
灑	灑
漓	灕
灘	灘
灝	灝
灣	灣
灤	灤
灩	灧
灩	灩
災	災
照	炤
為	為
烏	烏
災	烖
烴	烴
無	無
煅	煆
輝	煇
煉	煉
煮	煑
煒	煒
暖	煖
暖	煗
煙	煙
煢	煢
煥	煥
煩	煩
煬	煬
熒	熒
熗	熗
熱	熱
熾	熾
燁	燁
焰	燄
燈	燈
燉	燉
磷	燐
燒	燒
燙	燙
燜	燜
營	營
燦	燦
毀	燬
燭	燭
燴	燴
燻	燻
燼	燼
燾	燾
耀	燿
爍	爍
爐	爐
燁	爗
爛	爛
爭	爭
為	為
爺	爺
爾	爾
牀	牀
牆	牆
箋	牋
窗	牎
閘	牐
榜	牓
窗	牕
牘	牘
它	牠
抵	牴
牽	牽
犁	犂
奔	犇
犖	犖
犛	犛
犢	犢
犧	犧
狀	狀
徇	狥
狹	狹
狽	狽
悍	猂
猙	猙
猿	猨
猶	猶
猻	猻
獁	獁
呆	獃
獄	獄
獅	獅
嗥	獋
獎	獎
弊	獘
狷	獧
