巵	卮
巹	巹
帀	匝
帥	帥
師	師
帬	裙
帳	帳
帶	帶
幀	幀
幃	幃
幑	徽
幗	幗
幘	幘
幙	幕
幟	幟
幣	幣
幫	幫
幬	幬
幹	幹
幾	幾
庫	庫
庻	庶
廁	廁
廂	廂
廄	廄
廈	廈
廐	廄
廕	蔭
廚	廚
廝	廝
廟	廟
廠	廠
廡	廡
廢	廢
廣	廣
廩	廩
廬	廬
廳	廳
廵	巡
廹	迫
廻	回
廼	乃
弔	吊
弳	弳
張	張
強	強
彆	別
彈	彈
彊	強
彌	彌
彎	彎
彙	匯
彜	彝
彞	彝
彥	彥
彫	雕
彿	佛
徃	往
徑	徑
從	從
徠	徠
復	復
徬	仿
徴	徵
徹	徹
怱	匆
怳	恍
恆	恆
恠	怪
恡	吝
恥	恥
悅	悅
悤	匆
悳	德
悵	悵
悶	悶
悽	悽
惏	婪
惡	惡
惥	恿
惱	惱
惲	惲
惻	惻
愛	愛
愜	愜
愨	愨
愴	愴
愷	愷
愽	博
愾	愾
慂	恿
慄	慄
慇	殷
態	態
慍	慍
慘	慘
慙	慚
慚	慚
慟	慟
慣	慣
慤	愨
慪	慪
慫	慫
慮	慮
慳	慳
慴	懾
慶	慶
慼	戚
慾	欲
憂	憂
憇	憩
憊	憊
憐	憐
憑	憑
憒	憒
憚	憚
憤	憤
憫	憫
憮	憮
憲	憲
憶	憶
懃	勤
懇	懇
應	應
懌	懌
懍	懍
懕	懨
懞	蒙
懟	懟
懣	懣
懨	懨
懲	懲
懶	懶
懷	懷
懸	懸
懺	懺
懼	懼
懽	歡
懾	懾
戀	戀
戇	戇
戔	戔
戧	戧
戩	戩
戱	戲
戰	戰
戲	戲
戶	戶
戹	厄
戼	帽
扡	扦
拏	拿
拕	拖
挐	拿
挱	挲
挾	挾
挿	插
捄	救
捨	舍
捫	捫
捲	卷
掃	掃
掄	掄
掙	掙
掛	掛
採	採
掽	碰
揀	揀
揑	捏
揚	揚
換	換
揫	揪
揮	揮
揹	背
搆	構
搇	撳
搉	榷
損	損
搖	搖
搗	搗
搥	捶
搨	拓
搯	掏
搶	搶
搾	榨
摑	摑
摜	摜
摟	摟
摣	揸
摯	摯
摳	摳
摶	摶
摻	摻
撈	撈
撐	撐
撓	撓
撚	捻
撟	撟
撡	操
撣	撣
撥	撥
撦	扯
撫	撫
撲	撲
撳	撳
撻	撻
撾	撾
撿	撿
擁	擁
擄	擄
擇	擇
擊	擊
擋	擋
擔	擔
擕	攜
據	據
擠	擠
擡	抬
擣	搗
擧	舉
擬	擬
擯	擯
擰	擰
擱	擱
擲	擲
擴	擴
擷	擷
擺	擺
擻	擻
擼	擼
擾	擾
攄	攄
攆	攆
攏	攏
攔	攔
攖	攖
攙	攙
攛	攛
攜	攜
攝	攝
攢	攢
攣	攣
攤	攤
攩	擋
攪	攪
攬	攬
攷	考
敂	叩
敍	敘
敗	敗
敘	敘
敭	揚
敵	敵
數	數
敺	驅
斂	斂
斃	斃
斕	斕
斬	斬
斮	斫
斲	斫
斵	斫
斷	斷
旂	旗
旾	春
昇	升
昬	昏
昰	是
時	時
晉	晉
晝	晝
晳	晰
晻	暗
暈	暈
暉	暉
暎	映
暠	皓
暢	暢
暫	暫
暱	暱
曄	曄
曆	歷
曇	曇
曉	曉
曏	向
曖	曖
曠	曠
曡	疊
曬	曬
書	書
會	會
朢	望
朧	朧
朶	朵
東	東
枏	楠
枒	丫
枴	拐
柟	楠
柵	柵
柹	柿
柺	拐
査	查
栁	柳
桮	杯
桺	柳
桿	杆
梔	梔
梘	梘
條	條
梟	梟
梱	捆
棃	梨
棄	棄
棊	棋
棖	棖
棗	棗
棟	棟
棧	棧
棬	桊
棲	棲
椀	碗
椏	椏
椗	碇
椶	棕
楊	楊
楓	楓
楥	楦
楨	楨
業	業
楳	梅
極	極
榦	幹
榪	榪
榮	榮
榿	榿
槀	稿
槃	盤
構	構
槍	槍
槑	梅
槓	槓
槕	桌
槧	槧
槨	槨
槩	概
槳	槳
槼	規
樁	樁
樂	樂
樅	樅
樑	梁
樓	樓
標	標
樞	樞
樣	樣
樷	叢
樸	樸
樹	樹
樺	樺
橈	橈
橋	橋
橜	橛
機	機
橢	橢
橤	蕊
橫	橫
橰	槔
檁	檁
檉	檉
檔	檔
檜	檜
檝	楫
檢	檢
檣	檣
檯	臺
檳	檳
檸	檸
檻	檻
檾	苘
櫂	棹
櫃	櫃
櫈	凳
櫓	櫓
櫚	櫚
櫛	櫛
櫝	櫝
櫞	櫞
櫟	櫟
櫥	櫥
櫧	櫧
櫨	櫨
櫪	櫪
櫫	櫫
櫬	櫬
櫳	櫳
櫸	櫸
櫺	欞
櫻	櫻
欄	欄
權	權
欏	欏
欑	攢
欒	欒
欖	欖
欞	欞
欬	咳
欵	款
欽	欽
歎	嘆
歐	歐
歗	嘯
歛	斂
歟	歟
歡	歡
歲	歲
歷	歷
歸	歸
歿	歿
殀	夭
殘	殘
殞	殞
殤	殤
殫	殫
殭	僵
殮	殮
殯	殯
殲	殲
殺	殺
殼	殼
毀	毀
毆	毆
毉	醫
毘	毗
毧	絨
毬	球
毿	毿
氂	犛
氈	氈
氊	氈
氌	氌
氣	氣
氫	氫
氬	氬
氳	氳
氷	冰
氹	凼
氾	泛
汎	泛
汙	污
汚	污
決	決
沍	冱
沒	沒
沖	衝
況	況
泝	溯
洩	泄
洶	洶
浹	浹
涇	涇
涖	蒞
涼	涼
淒	悽
淚	淚
淛	浙
淥	淥
淨	淨
淩	凌
淪	淪
淵	淵
淶	淶
淺	淺
渙	渙
減	減
渦	渦
測	測
渾	渾
湊	湊
湞	湞
湣	愍
湧	湧
湯	湯
湻	淳
溈	潙
準	準
溝	溝
溫	溫
溼	溼
滄	滄
滅	滅
滌	滌
滎	滎
滙	匯
滛	淫
滬	滬
滯	滯
滲	滲
滷	滷
滸	滸
滾	滾
滿	滿
漁	漁
漚	漚
漢	漢
漣	漣
漬	漬
漲	漲
漵	漵
漸	漸
漿	漿
潁	潁
潄	漱
潑	潑
潔	潔
潙	潙
潛	潛
潟	舄
潤	潤
潯	潯
潰	潰
潷	潷
潿	潿
澀	澀
澁	澀
澂	澄
澆	澆
澇	澇
澗	澗
澠	澠
澤	澤
澩	澩
澮	澮
澱	澱
濁	濁
濃	濃
濕	溼
濘	濘
濛	蒙
濟	濟
濤	濤
濫	濫
濬	浚
濰	濰
濱	濱
濶	闊
濺	濺
濼	濼
濾	濾
瀅	瀅
瀆	瀆
瀉	瀉
瀋	瀋
瀏	瀏
瀕	瀕
瀘	瀘
瀝	瀝
瀟	瀟
瀠	瀠
瀦	瀦
瀧	瀧
瀨	瀨
瀰	彌
瀲	瀲
瀾	瀾
灃	灃
灄	灄
灋	法
灑	灑
灕	漓
灘	灘
灝	灝
灣	灣
灤	灤
灧	灩
灩	灩
災	災
炤	照
為	為
烏	烏
烖	災
烴	烴
無	無
煆	煅
煇	輝
煉	煉
煑	煮
煒	煒
煖	暖
煗	暖
煙	煙
煢	煢
煥	煥
煩	煩
煬	煬
熒	熒
熗	熗
熱	熱
熾	熾
燁	燁
燄	焰
燈	燈
燉	燉
燐	磷
燒	燒
燙	燙
燜	燜
營	營
燦	燦
燬	毀
燭	燭
燴	燴
燻	燻
燼	燼
燾	燾
燿	耀
爍	爍
爐	爐
爗	燁
爛	爛
爭	爭
為	為
爺	爺
爾	爾
牀	牀
牆	牆
牋	箋
牎	窗
牐	閘
牓	榜
牕	窗
牘	牘
牠	它
牴	抵
牽	牽
犂	犁
犇	奔
犖	犖
犛	犛
犢	犢
犧	犧
狀	狀
狥	徇
狹	狹
狽	狽
猂	悍
猙	猙
猨	猿
猶	猶
猻	猻
獁	獁
獃	呆
獄	獄
獅	獅
獋	嗥
獎	獎
獘	弊
獧	狷
獨	獨
獪	獪
獫	獫
獰	獰
獲	獲
獵	獵
獷	獷
獸	獸
獺	獺
獻	獻
獼	獼
玀	玀
玅	妙
玆	茲
玨	珏
珎	珍
珮	佩
現	現
琍	璃
琯	管
琱	雕
琹	琴
琺	琺
琿	琿
瑉	珉
瑋	瑋
瑠	琉
瑣	瑣
瑤	瑤
瑩	瑩
瑪	瑪
瑯	琅
璉	璉
璢	琉
璣	璣
璦	璦
環	環
璽	璽
璿	璇
瓈	璃
瓊	瓊
瓌	瑰
瓏	瓏
瓔	瓔
瓚	瓚
甌	甌
甎	磚
甕	甕
甖	罌
產	產
産	產
甦	蘇
畊	耕
畝	畝
畢	畢
畧	略
畫	畫
異	異
畱	留
當	當
疇	疇
疉	疊
疊	疊
疎	疏
疘	肛
疿	痱
痐	蛔
痙	痙
痠	酸
痳	淋
痺	痹
痾	痾
瘂	瘂
瘉	愈
瘋	瘋
瘍	瘍
瘓	瘓
瘖	喑
