1	一點
2	兩點
3	三點
4	四點
5	五點
6	六點
7	七點
8	八點
9	九點
00	零點
01	一點
02	兩點
03	三點
04	四點
05	五點
06	六點
07	七點
08	八點
09	九點
10	十點
11	十一點
12	十二點
13	十三點
14	十四點
15	十五點
16	十六點
17	十七點
18	十八點
19	十九點
20	二十點
21	二十一點
22	二十二點
23	二十三點
24	二十四點
