年來
年前
年後
年內
年之前
年之後
平方
平米
立方
公里
票
多
餘
幾
集
檔
具
趟
人
篇
幀
把
封
艘
套
段
號
匹
張
座
回
場
尾
條
個
首
闕
陣
網
炮
頂
丘
棵
只
支
襲
輛
挑
擔
顆
殼
窠
曲
牆
羣
腔
砣
座
客
貫
扎
捆
刀
令
手
羅
坡
山
嶺
江
溪
鍾
隊
單
雙
對
口
頭
腳
板
跳
枝
件
貼
針
線
管
名
位
身
堂
課
本
頁
家
戶
層
絲
毫
釐
分
錢
兩
斤
擔
銖
石
鈞
錙
忽
克
毫
釐
分
寸
尺
丈
裏
尋
常
鋪
程
米
撮
勺
合
升
鬥
石
盤
碗
碟
疊
桶
籠
盆
盒
杯
鍾
斛
鍋
簋
籃
盤
桶
罐
瓶
壺
卮
盞
籮
箱
煲
啖
袋
鉢
月
日
季
刻
時
小時
周
天
秒
分
旬
紀
歲
世
更
夜
春
夏
秋
冬
代
伏
輩
丸
泡
粒
顆
幢
堆
條
根
支
道
面
片
張
顆
塊
架
千米
分米
釐米
毫米
微米
納米
億
千萬
百萬
萬
千
百
億塊
千萬塊
百萬塊
萬塊
千塊
百塊
億角
千萬角
百萬角
萬角
千角
百角
億毛
千萬毛
百萬毛
萬毛
千毛
百毛
億分
千萬分
百萬分
萬分
千分
百分
億元
千萬元
百萬元
萬元
千元
百元
元
噸
度
攝氏度
字
兆
